age,gender,education_level,job_title,years_of_experience,salary,job_title_norm
42.0,Male,PhD,Senior Software Engineer,14.0,170000.0,senior software engineer
44.0,Male,Master's,Senior Project Engineer,11.0,170000.0,senior project engineer
37.0,Male,Master's,Senior Software Engineer,9.0,150000.0,senior software engineer
24.0,Female,Bachelor's,Back end Developer,1.0,60000.0,back end developer
27.0,Male,Bachelor's,Front end Developer,2.0,70000.0,front end developer
42.0,Male,PhD,Senior Software Engineer,14.0,170000.0,senior software engineer
24.0,Female,Bachelor's,Front end Developer,1.0,55000.0,front end developer
28.0,Female,Bachelor's,Front end Developer,3.0,80000.0,front end developer
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
31.0,Male,Master's,Full Stack Engineer,7.0,140000.0,full stack engineer
43.0,Male,PhD,Software Engineer Manager,13.0,180000.0,software engineer manager
27.0,Female,Master's,Back end Developer,2.0,70000.0,back end developer
49.0,Male,PhD,Software Engineer Manager,15.0,185000.0,software engineer manager
48.0,Male,PhD,Senior Project Engineer,16.0,190000.0,senior project engineer
31.0,Male,Master's,Senior Project Engineer,6.0,125000.0,senior project engineer
40.0,Male,PhD,Senior Software Engineer,12.0,160000.0,senior software engineer
36.0,Male,Master's,Senior Software Engineer,8.0,140000.0,senior software engineer
54.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
27.0,Male,Bachelor's,Front end Developer,2.0,70000.0,front end developer
28.0,Male,Bachelor's,Front end Developer,2.0,70000.0,front end developer
44.0,Male,Master's,Senior Project Engineer,11.0,170000.0,senior project engineer
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
54.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
32.0,Male,Master's,Back end Developer,6.0,130000.0,back end developer
38.0,Male,Master's,Senior Software Engineer,10.0,155000.0,senior software engineer
49.0,Male,PhD,Software Engineer Manager,15.0,185000.0,software engineer manager
27.0,Male,Bachelor's,Front end Developer,3.0,80000.0,front end developer
54.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
31.0,Male,Master's,Senior Project Engineer,7.0,135000.0,senior project engineer
24.0,Male,Bachelor's,Back end Developer,1.0,55000.0,back end developer
48.0,Male,PhD,Senior Project Engineer,16.0,190000.0,senior project engineer
27.0,Female,Master's,Back end Developer,2.0,70000.0,back end developer
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
44.0,Male,Master's,Senior Project Engineer,11.0,170000.0,senior project engineer
37.0,Male,Master's,Senior Software Engineer,9.0,150000.0,senior software engineer
56.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
28.0,Male,Bachelor's,Front end Developer,2.0,70000.0,front end developer
54.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
31.0,Male,Master's,Senior Project Engineer,6.0,125000.0,senior project engineer
49.0,Male,PhD,Software Engineer Manager,15.0,185000.0,software engineer manager
27.0,Female,Master's,Back end Developer,2.0,70000.0,back end developer
38.0,Male,Master's,Senior Software Engineer,10.0,155000.0,senior software engineer
27.0,Male,Bachelor's,Front end Developer,3.0,80000.0,front end developer
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
48.0,Male,PhD,Senior Project Engineer,16.0,190000.0,senior project engineer
44.0,Male,Master's,Senior Project Engineer,11.0,170000.0,senior project engineer
54.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
37.0,Male,Master's,Senior Software Engineer,9.0,150000.0,senior software engineer
28.0,Male,Bachelor's,Front end Developer,2.0,70000.0,front end developer
27.0,Female,Master's,Back end Developer,2.0,70000.0,back end developer
49.0,Male,PhD,Software Engineer Manager,15.0,185000.0,software engineer manager
31.0,Male,Master's,Senior Project Engineer,7.0,135000.0,senior project engineer
27.0,Male,Bachelor's,Front end Developer,3.0,80000.0,front end developer
54.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
38.0,Male,Master's,Senior Software Engineer,10.0,155000.0,senior software engineer
44.0,Male,Master's,Senior Project Engineer,11.0,170000.0,senior project engineer
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
27.0,Male,Bachelor's,Front end Developer,2.0,70000.0,front end developer
48.0,Male,PhD,Senior Project Engineer,16.0,190000.0,senior project engineer
31.0,Male,Master's,Senior Project Engineer,6.0,125000.0,senior project engineer
54.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
37.0,Male,Master's,Senior Software Engineer,9.0,150000.0,senior software engineer
28.0,Male,Bachelor's,Front end Developer,2.0,70000.0,front end developer
27.0,Female,Master's,Back end Developer,2.0,70000.0,back end developer
34.0,Male,Bachelor's,Front end Developer,5.0,95000.0,front end developer
43.0,Female,Master's,Senior Software Engineer,12.0,170000.0,senior software engineer
27.0,Male,Bachelor's,Back end Developer,2.0,75000.0,back end developer
56.0,Female,PhD,Software Engineer Manager,18.0,210000.0,software engineer manager
32.0,Male,Master's,Full Stack Engineer,7.0,135000.0,full stack engineer
40.0,Male,PhD,Senior Software Engineer,12.0,160000.0,senior software engineer
23.0,Male,Bachelor's,Front end Developer,1.0,55000.0,front end developer
46.0,Male,PhD,Senior Project Engineer,16.0,190000.0,senior project engineer
41.0,Female,PhD,Senior Project Engineer,11.0,165000.0,senior project engineer
28.0,Female,Bachelor's,Front end Developer,3.0,80000.0,front end developer
34.0,Male,Bachelor's,Back end Developer,6.0,120000.0,back end developer
49.0,Male,PhD,Software Engineer Manager,15.0,185000.0,software engineer manager
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
54.0,Male,PhD,Software Engineer Manager,16.0,190000.0,software engineer manager
36.0,Male,Master's,Senior Software Engineer,8.0,140000.0,senior software engineer
33.0,Male,Master's,Full Stack Engineer,6.0,130000.0,full stack engineer
27.0,Female,Master's,Back end Developer,2.0,70000.0,back end developer
44.0,Male,Master's,Senior Project Engineer,11.0,170000.0,senior project engineer
31.0,Male,Master's,Senior Project Engineer,6.0,125000.0,senior project engineer
38.0,Male,Master's,Senior Software Engineer,10.0,155000.0,senior software engineer
27.0,Male,Bachelor's,Front end Developer,2.0,70000.0,front end developer
54.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
31.0,Male,Master's,Senior Software Engineer,7.0,140000.0,senior software engineer
32.0,Male,Master's,Back end Developer,6.0,130000.0,back end developer
38.0,Female,Master's,Back end Developer,10.0,155000.0,back end developer
51.0,Male,PhD,Software Engineer Manager,16.0,190000.0,software engineer manager
28.0,Male,Bachelor's,Front end Developer,2.0,70000.0,front end developer
27.0,Male,Bachelor's,Front end Developer,3.0,80000.0,front end developer
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
27.0,Female,Master's,Full Stack Engineer,3.0,100000.0,full stack engineer
49.0,Male,PhD,Software Engineer Manager,15.0,185000.0,software engineer manager
48.0,Male,PhD,Senior Project Engineer,16.0,190000.0,senior project engineer
31.0,Male,Master's,Senior Project Engineer,7.0,135000.0,senior project engineer
40.0,Female,PhD,Senior Software Engineer,12.0,160000.0,senior software engineer
24.0,Male,Bachelor's,Front end Developer,1.0,55000.0,front end developer
27.0,Male,Bachelor's,Front end Developer,3.0,80000.0,front end developer
42.0,Male,PhD,Senior Software Engineer,14.0,170000.0,senior software engineer
24.0,Female,Bachelor's,Front end Developer,1.0,55000.0,front end developer
28.0,Female,Bachelor's,Front end Developer,3.0,80000.0,front end developer
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
31.0,Male,Master's,Full Stack Engineer,7.0,140000.0,full stack engineer
43.0,Male,PhD,Software Engineer Manager,13.0,180000.0,software engineer manager
27.0,Female,Master's,Back end Developer,2.0,70000.0,back end developer
49.0,Male,PhD,Software Engineer Manager,15.0,185000.0,software engineer manager
48.0,Male,PhD,Senior Project Engineer,16.0,190000.0,senior project engineer
31.0,Male,Master's,Senior Project Engineer,6.0,125000.0,senior project engineer
40.0,Male,PhD,Senior Software Engineer,12.0,160000.0,senior software engineer
36.0,Male,Master's,Senior Software Engineer,8.0,140000.0,senior software engineer
54.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
27.0,Male,Bachelor's,Front end Developer,2.0,70000.0,front end developer
28.0,Male,Bachelor's,Front end Developer,2.0,70000.0,front end developer
44.0,Male,Master's,Senior Project Engineer,11.0,170000.0,senior project engineer
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
54.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
32.0,Male,Master's,Back end Developer,6.0,130000.0,back end developer
38.0,Male,Master's,Senior Software Engineer,10.0,155000.0,senior software engineer
49.0,Male,PhD,Software Engineer Manager,15.0,185000.0,software engineer manager
27.0,Male,Bachelor's,Front end Developer,3.0,80000.0,front end developer
54.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
31.0,Male,Master's,Senior Project Engineer,7.0,135000.0,senior project engineer
24.0,Male,Bachelor's,Back end Developer,1.0,55000.0,back end developer
48.0,Male,PhD,Senior Project Engineer,16.0,190000.0,senior project engineer
27.0,Female,Master's,Back end Developer,2.0,70000.0,back end developer
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
44.0,Male,Master's,Senior Project Engineer,11.0,170000.0,senior project engineer
37.0,Male,Master's,Senior Software Engineer,9.0,150000.0,senior software engineer
56.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
28.0,Male,Bachelor's,Front end Developer,2.0,70000.0,front end developer
54.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
31.0,Male,Master's,Senior Project Engineer,6.0,125000.0,senior project engineer
49.0,Male,PhD,Software Engineer Manager,15.0,185000.0,software engineer manager
54.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
27.0,Male,Bachelor's,Front end Developer,3.0,80000.0,front end developer
42.0,Male,PhD,Senior Software Engineer,14.0,170000.0,senior software engineer
38.0,Male,Master's,Senior Software Engineer,10.0,155000.0,senior software engineer
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
27.0,Male,Bachelor's,Front end Developer,2.0,70000.0,front end developer
31.0,Male,Master's,Full Stack Engineer,7.0,140000.0,full stack engineer
54.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
36.0,Male,Master's,Senior Software Engineer,8.0,140000.0,senior software engineer
27.0,Female,Master's,Back end Developer,2.0,70000.0,back end developer
49.0,Male,PhD,Software Engineer Manager,15.0,185000.0,software engineer manager
48.0,Male,PhD,Senior Project Engineer,16.0,190000.0,senior project engineer
31.0,Male,Master's,Senior Project Engineer,7.0,135000.0,senior project engineer
40.0,Female,PhD,Senior Software Engineer,12.0,160000.0,senior software engineer
24.0,Male,Bachelor's,Front end Developer,1.0,55000.0,front end developer
27.0,Male,Bachelor's,Front end Developer,3.0,80000.0,front end developer
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
27.0,Female,Master's,Full Stack Engineer,3.0,100000.0,full stack engineer
49.0,Male,PhD,Software Engineer Manager,15.0,185000.0,software engineer manager
48.0,Male,PhD,Senior Project Engineer,16.0,190000.0,senior project engineer
31.0,Male,Master's,Senior Project Engineer,6.0,125000.0,senior project engineer
40.0,Male,PhD,Senior Software Engineer,12.0,160000.0,senior software engineer
36.0,Male,Master's,Senior Software Engineer,8.0,140000.0,senior software engineer
54.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
27.0,Male,Bachelor's,Front end Developer,2.0,70000.0,front end developer
28.0,Male,Bachelor's,Front end Developer,2.0,70000.0,front end developer
44.0,Male,Master's,Senior Project Engineer,11.0,170000.0,senior project engineer
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
54.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
32.0,Male,Master's,Back end Developer,6.0,130000.0,back end developer
38.0,Male,Master's,Senior Software Engineer,10.0,155000.0,senior software engineer
49.0,Male,PhD,Software Engineer Manager,15.0,185000.0,software engineer manager
27.0,Male,Bachelor's,Front end Developer,3.0,80000.0,front end developer
54.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
31.0,Male,Master's,Senior Project Engineer,7.0,135000.0,senior project engineer
24.0,Male,Bachelor's,Back end Developer,1.0,55000.0,back end developer
48.0,Male,PhD,Senior Project Engineer,16.0,190000.0,senior project engineer
27.0,Female,Master's,Back end Developer,2.0,70000.0,back end developer
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
44.0,Male,Master's,Senior Project Engineer,11.0,170000.0,senior project engineer
37.0,Male,Master's,Senior Software Engineer,9.0,150000.0,senior software engineer
56.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
28.0,Male,Bachelor's,Front end Developer,2.0,70000.0,front end developer
54.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
31.0,Male,Master's,Senior Project Engineer,6.0,125000.0,senior project engineer
49.0,Male,PhD,Software Engineer Manager,15.0,185000.0,software engineer manager
54.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
27.0,Male,Bachelor's,Front end Developer,3.0,80000.0,front end developer
42.0,Male,PhD,Senior Software Engineer,14.0,170000.0,senior software engineer
38.0,Male,Master's,Senior Software Engineer,10.0,155000.0,senior software engineer
36.0,Male,Bachelor's,Front end Developer,7.0,120000.0,front end developer
29.0,Female,Master's,Back end Developer,3.0,90000.0,back end developer
41.0,Female,PhD,Software Engineer Manager,14.0,180000.0,software engineer manager
33.0,Male,Bachelor's,Full Stack Engineer,7.0,130000.0,full stack engineer
42.0,Male,PhD,Senior Software Engineer,12.0,170000.0,senior software engineer
28.0,Male,Bachelor's,Back end Developer,2.0,70000.0,back end developer
55.0,Male,PhD,Software Engineer Manager,18.0,210000.0,software engineer manager
26.0,Female,Master's,Front end Developer,1.0,55000.0,front end developer
47.0,Male,PhD,Senior Project Engineer,16.0,190000.0,senior project engineer
44.0,Female,PhD,Software Engineer Manager,11.0,165000.0,software engineer manager
30.0,Male,Master's,Full Stack Engineer,5.0,105000.0,full stack engineer
39.0,Female,Master's,Senior Software Engineer,11.0,160000.0,senior software engineer
32.0,Male,Bachelor's,Front end Developer,6.0,110000.0,front end developer
50.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
27.0,Male,Bachelor's,Back end Developer,3.0,85000.0,back end developer
46.0,Male,PhD,Senior Project Engineer,14.0,180000.0,senior project engineer
25.0,Female,Bachelor's,Front end Developer,1.0,55000.0,front end developer
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
35.0,Male,Bachelor's,Back end Developer,8.0,140000.0,back end developer
29.0,Female,Master's,Back end Developer,3.0,90000.0,back end developer
40.0,Female,PhD,Senior Software Engineer,12.0,160000.0,senior software engineer
35.0,Male,Bachelor's,Full Stack Engineer,8.0,145000.0,full stack engineer
41.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
30.0,Male,Master's,Full Stack Engineer,5.0,105000.0,full stack engineer
33.0,Male,Bachelor's,Front end Developer,6.0,110000.0,front end developer
55.0,Male,PhD,Software Engineer Manager,18.0,210000.0,software engineer manager
26.0,Female,Master's,Front end Developer,1.0,55000.0,front end developer
47.0,Male,PhD,Senior Project Engineer,16.0,190000.0,senior project engineer
44.0,Female,PhD,Software Engineer Manager,11.0,165000.0,software engineer manager
30.0,Male,Master's,Full Stack Engineer,5.0,105000.0,full stack engineer
39.0,Female,Master's,Senior Software Engineer,11.0,160000.0,senior software engineer
32.0,Male,Bachelor's,Front end Developer,6.0,110000.0,front end developer
50.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
27.0,Male,Bachelor's,Back end Developer,3.0,85000.0,back end developer
46.0,Male,PhD,Senior Project Engineer,14.0,180000.0,senior project engineer
25.0,Female,Bachelor's,Front end Developer,1.0,55000.0,front end developer
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
35.0,Male,Bachelor's,Back end Developer,8.0,140000.0,back end developer
29.0,Female,Master's,Back end Developer,3.0,90000.0,back end developer
40.0,Female,PhD,Senior Software Engineer,12.0,160000.0,senior software engineer
35.0,Male,Bachelor's,Full Stack Engineer,8.0,145000.0,full stack engineer
41.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
30.0,Male,Master's,Full Stack Engineer,5.0,105000.0,full stack engineer
33.0,Male,Bachelor's,Front end Developer,6.0,110000.0,front end developer
55.0,Male,PhD,Software Engineer Manager,18.0,210000.0,software engineer manager
26.0,Female,Master's,Front end Developer,1.0,55000.0,front end developer
47.0,Male,PhD,Senior Project Engineer,16.0,190000.0,senior project engineer
44.0,Female,PhD,Software Engineer Manager,11.0,165000.0,software engineer manager
30.0,Male,Master's,Full Stack Engineer,5.0,105000.0,full stack engineer
39.0,Female,Master's,Senior Software Engineer,11.0,160000.0,senior software engineer
32.0,Male,Bachelor's,Front end Developer,6.0,110000.0,front end developer
50.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
27.0,Male,Bachelor's,Back end Developer,3.0,85000.0,back end developer
46.0,Male,PhD,Senior Project Engineer,14.0,180000.0,senior project engineer
25.0,Female,Bachelor's,Front end Developer,1.0,55000.0,front end developer
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
35.0,Male,Bachelor's,Back end Developer,8.0,140000.0,back end developer
29.0,Female,Master's,Back end Developer,3.0,90000.0,back end developer
40.0,Female,PhD,Senior Software Engineer,12.0,160000.0,senior software engineer
35.0,Male,Bachelor's,Full Stack Engineer,8.0,145000.0,full stack engineer
41.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
30.0,Male,Master's,Full Stack Engineer,5.0,105000.0,full stack engineer
33.0,Male,Bachelor's,Front end Developer,6.0,110000.0,front end developer
55.0,Male,PhD,Software Engineer Manager,18.0,210000.0,software engineer manager
26.0,Female,Master's,Front end Developer,1.0,55000.0,front end developer
47.0,Male,PhD,Senior Project Engineer,16.0,190000.0,senior project engineer
44.0,Female,PhD,Software Engineer Manager,11.0,165000.0,software engineer manager
30.0,Male,Master's,Full Stack Engineer,5.0,105000.0,full stack engineer
39.0,Female,Master's,Senior Software Engineer,11.0,160000.0,senior software engineer
32.0,Male,Bachelor's,Front end Developer,6.0,110000.0,front end developer
50.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
27.0,Male,Bachelor's,Back end Developer,3.0,85000.0,back end developer
46.0,Male,PhD,Senior Project Engineer,14.0,180000.0,senior project engineer
25.0,Female,Bachelor's,Front end Developer,1.0,55000.0,front end developer
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
35.0,Male,Bachelor's,Back end Developer,8.0,140000.0,back end developer
29.0,Female,Master's,Back end Developer,3.0,90000.0,back end developer
40.0,Female,PhD,Senior Software Engineer,12.0,160000.0,senior software engineer
35.0,Male,Bachelor's,Full Stack Engineer,8.0,145000.0,full stack engineer
41.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
30.0,Male,Master's,Full Stack Engineer,5.0,105000.0,full stack engineer
33.0,Male,Bachelor's,Front end Developer,6.0,110000.0,front end developer
55.0,Male,PhD,Software Engineer Manager,18.0,210000.0,software engineer manager
26.0,Female,Master's,Front end Developer,1.0,55000.0,front end developer
47.0,Male,PhD,Senior Project Engineer,16.0,190000.0,senior project engineer
44.0,Female,PhD,Software Engineer Manager,11.0,165000.0,software engineer manager
30.0,Male,Master's,Full Stack Engineer,5.0,105000.0,full stack engineer
39.0,Female,Master's,Senior Software Engineer,11.0,160000.0,senior software engineer
32.0,Male,Bachelor's,Front end Developer,6.0,110000.0,front end developer
50.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
27.0,Male,Bachelor's,Back end Developer,3.0,85000.0,back end developer
46.0,Male,PhD,Senior Project Engineer,14.0,180000.0,senior project engineer
25.0,Female,Bachelor's,Front end Developer,1.0,55000.0,front end developer
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
35.0,Male,Bachelor's,Back end Developer,8.0,140000.0,back end developer
29.0,Female,Master's,Back end Developer,3.0,90000.0,back end developer
40.0,Female,PhD,Senior Software Engineer,12.0,160000.0,senior software engineer
35.0,Male,Bachelor's,Full Stack Engineer,8.0,145000.0,full stack engineer
41.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
30.0,Male,Master's,Full Stack Engineer,5.0,105000.0,full stack engineer
33.0,Male,Bachelor's,Front end Developer,6.0,110000.0,front end developer
55.0,Male,PhD,Software Engineer Manager,18.0,210000.0,software engineer manager
26.0,Female,Master's,Front end Developer,1.0,55000.0,front end developer
47.0,Male,PhD,Senior Project Engineer,16.0,190000.0,senior project engineer
44.0,Female,PhD,Software Engineer Manager,11.0,165000.0,software engineer manager
30.0,Male,Master's,Full Stack Engineer,5.0,105000.0,full stack engineer
39.0,Female,Master's,Senior Software Engineer,11.0,160000.0,senior software engineer
32.0,Male,Bachelor's,Front end Developer,6.0,110000.0,front end developer
50.0,Male,PhD,Software Engineer Manager,17.0,195000.0,software engineer manager
27.0,Male,Bachelor's,Back end Developer,3.0,85000.0,back end developer
46.0,Male,PhD,Senior Project Engineer,14.0,180000.0,senior project engineer
25.0,Female,Bachelor's,Front end Developer,1.0,55000.0,front end developer
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
35.0,Male,Bachelor's,Back end Developer,8.0,140000.0,back end developer
29.0,Female,Master's,Back end Developer,3.0,90000.0,back end developer
40.0,Female,PhD,Senior Software Engineer,12.0,160000.0,senior software engineer
35.0,Male,Bachelor's,Full Stack Engineer,8.0,145000.0,full stack engineer
41.0,Male,PhD,Senior Project Engineer,13.0,185000.0,senior project engineer
30.0,Male,Master's,Full Stack Engineer,5.0,105000.0,full stack engineer
33.0,Male,Bachelor's,Front end Developer,6.0,110000.0,front end developer
55.0,Male,PhD,Software Engineer Manager,18.0,210000.0,software engineer manager
31.0,Male,Bachelor's,Front end Developer,6.0,115000.0,front end developer
42.0,Female,Master's,Software Engineer Manager,13.0,170000.0,software engineer manager
27.0,Female,Bachelor's,Back end Developer,3.0,80000.0,back end developer
51.0,Male,PhD,Senior Project Engineer,19.0,200000.0,senior project engineer
34.0,Female,Master's,Full Stack Engineer,7.0,130000.0,full stack engineer
38.0,Male,Bachelor's,Software Engineer Manager,11.0,155000.0,software engineer manager
29.0,Male,Bachelor's,Front end Developer,5.0,105000.0,front end developer
43.0,Female,PhD,Senior Project Engineer,14.0,190000.0,senior project engineer
36.0,Male,Master's,Back end Developer,8.0,140000.0,back end developer
48.0,Male,PhD,Software Engineer Manager,16.0,185000.0,software engineer manager
35.0,Female,Bachelor's,Full Stack Engineer,8.0,145000.0,full stack engineer
30.0,Female,Master's,Front end Developer,4.0,90000.0,front end developer
50.0,Male,PhD,Senior Project Engineer,18.0,195000.0,senior project engineer
29.0,Male,Bachelor's,Back end Developer,4.0,95000.0,back end developer
41.0,Male,Master's,Software Engineer Manager,13.0,170000.0,software engineer manager
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,full stack engineer
45.0,Male,PhD,Senior Project Engineer,16.0,185000.0,senior project engineer
28.0,Female,Bachelor's,Front end Developer,2.0,65000.0,front end developer
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,software engineer manager
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,back end developer
46.0,Male,PhD,Senior Project Engineer,15.0,180000.0,senior project engineer
25.0,Female,Bachelor's,Front end Developer,1.0,55000.0,front end developer
42.0,Male,PhD,Software Engineer Manager,14.0,190000.0,software engineer manager
31.0,Male,Bachelor's,Full Stack Engineer,6.0,115000.0,full stack engineer
49.0,Female,PhD,Senior Project Engineer,17.0,195000.0,senior project engineer
36.0,Male,Master's,Back end Developer,9.0,150000.0,back end developer
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,full stack engineer
45.0,Male,PhD,Software Engineer Manager,16.0,185000.0,software engineer manager
28.0,Female,Bachelor's,Front end Developer,2.0,65000.0,front end developer
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,software engineer manager
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,back end developer
46.0,Male,PhD,Senior Project Engineer,15.0,180000.0,senior project engineer
25.0,Female,Bachelor's,Front end Developer,1.0,55000.0,front end developer
42.0,Male,PhD,Software Engineer Manager,14.0,190000.0,software engineer manager
31.0,Male,Bachelor's,Full Stack Engineer,6.0,115000.0,full stack engineer
49.0,Female,PhD,Senior Project Engineer,17.0,195000.0,senior project engineer
36.0,Male,Master's,Back end Developer,9.0,150000.0,back end developer
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,full stack engineer
45.0,Male,PhD,Software Engineer Manager,16.0,185000.0,software engineer manager
28.0,Female,Bachelor's,Front end Developer,2.0,65000.0,front end developer
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,software engineer manager
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,back end developer
46.0,Male,PhD,Senior Project Engineer,15.0,180000.0,senior project engineer
25.0,Female,Bachelor's,Front end Developer,1.0,55000.0,front end developer
42.0,Male,PhD,Software Engineer Manager,14.0,190000.0,software engineer manager
31.0,Male,Bachelor's,Full Stack Engineer,6.0,115000.0,full stack engineer
49.0,Female,PhD,Senior Project Engineer,17.0,195000.0,senior project engineer
36.0,Male,Master's,Back end Developer,9.0,150000.0,back end developer
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,full stack engineer
45.0,Male,PhD,Software Engineer Manager,16.0,185000.0,software engineer manager
28.0,Female,Bachelor's,Front end Developer,2.0,65000.0,front end developer
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,software engineer manager
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,back end developer
46.0,Male,PhD,Senior Project Engineer,15.0,180000.0,senior project engineer
25.0,Female,Bachelor's,Front end Developer,1.0,55000.0,front end developer
42.0,Male,PhD,Software Engineer Manager,14.0,190000.0,software engineer manager
31.0,Male,Bachelor's,Full Stack Engineer,6.0,115000.0,full stack engineer
49.0,Female,PhD,Senior Project Engineer,17.0,195000.0,senior project engineer
36.0,Male,Master's,Back end Developer,9.0,150000.0,back end developer
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,full stack engineer
45.0,Male,PhD,Software Engineer Manager,16.0,185000.0,software engineer manager
28.0,Female,Bachelor's,Front end Developer,2.0,65000.0,front end developer
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,software engineer manager
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,back end developer
46.0,Male,PhD,Senior Project Engineer,15.0,180000.0,senior project engineer
25.0,Female,Bachelor's,Front end Developer,1.0,55000.0,front end developer
42.0,Male,PhD,Software Engineer Manager,14.0,190000.0,software engineer manager
31.0,Male,Bachelor's,Full Stack Engineer,6.0,115000.0,full stack engineer
49.0,Female,PhD,Senior Project Engineer,17.0,195000.0,senior project engineer
36.0,Male,Master's,Back end Developer,9.0,150000.0,back end developer
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,full stack engineer
45.0,Male,PhD,Software Engineer Manager,16.0,185000.0,software engineer manager
28.0,Female,Bachelor's,Front end Developer,2.0,65000.0,front end developer
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,software engineer manager
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,back end developer
46.0,Male,PhD,Senior Project Engineer,15.0,180000.0,senior project engineer
25.0,Female,Bachelor's,Front end Developer,1.0,55000.0,front end developer
42.0,Male,PhD,Software Engineer Manager,14.0,190000.0,software engineer manager
31.0,Male,Bachelor's,Full Stack Engineer,6.0,115000.0,full stack engineer
